FIS TARIHI,BORC,ExpectedValue,ExpectedLow,ExpectedHigh,RawScore,Anomaly,BatchStart,BatchEnd
2019-06-10 00:00:00,1722284.1,1653381.3393652565,1203360.183969588,2103402.494760925,0,0,,
2019-06-11 00:00:00,617038.6000000001,685941.3606347437,235920.2052390753,1135962.5160304122,0,0,,
2019-06-12 00:00:00,1825023.0199999998,1756120.2593652562,1306099.1039695877,2206141.4147609244,0,0,,
2019-06-13 00:00:00,2663441.0700000008,2732343.8306347444,2282322.675239076,3182364.986030413,0,0,,
2019-06-14 00:00:00,4248048.539999998,4179227.318928891,3729738.7188082226,4628715.919049559,0,0,,
2019-06-15 00:00:00,126284.98000000003,195106.2010711073,'-254382.39904956118,644594.8011917758,0,0,,
2019-06-16 00:00:00,72751,141572.22107110725,'-307916.3790495612,591060.8211917757,0,0,,
2019-06-17 00:00:00,1935463.2999999998,1866824.7874379836,1418529.502267315,2315120.072608652,0,0,,
2019-06-18 00:00:00,1465542.82,1534181.3325620163,1085886.047391348,1982476.6177326846,0,0,,
2019-06-19 00:00:00,11925143.459999997,11858407.637110708,11422539.29386504,12294275.980356377,0,0,,
2019-06-20 00:00:00,2463440.8800000013,2529667.382525654,2097125.5379049857,2962209.2271463224,0,0,,
2019-06-21 00:00:00,3539130.0799999987,3475292.9823470735,3058356.938301405,3892229.026392742,0,0,,
2019-06-22 00:00:00,29369.91,93207.0076529254,'-323729.03639274294,510143.0516985937,0,0,,
2019-06-23 00:00:00,137,0,'-416936.0440456683,416936.0440456683,0.1915414537,0,,
2019-06-24 00:00:00,3758341.0400000005,2375906.7356792158,1959504.5636085472,2792308.9077498843,0.4365464226,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-06-25 00:00:00,2261094.6000000006,2324131.484634744,1912421.8318640757,2735841.1374054123,0,0,,
2019-06-26 00:00:00,2221656.2100000004,2159544.5762016205,1753877.967955952,2565211.184447289,0,0,,
2019-06-27 00:00:00,3106095.39,3167391.458416562,2767051.5115708937,3567731.4052622304,0,0,,
2019-06-28 00:00:00,8563425.590000002,8503410.123401621,8111434.107180953,8895386.13962229,0,0,,
2019-06-29 00:00:00,217104.71000000002,157089.24340162007,'-234886.77281904843,549065.2596222886,0,0,,
2019-06-30 00:00:00,196214084.46999958,9617743.513364747,9225767.497144079,10009719.529585415,0.8637344874,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-07-01 00:00:00,21621306.54999999,21563969.04441979,21189483.46109912,21938454.62774046,0,0,,
2019-07-02 00:00:00,3563877.1999999993,3614007.234816561,3286595.444920893,3941419.024712229,0,0,,
2019-07-03 00:00:00,6855040.219999997,6805639.233183435,6482989.038037767,7128289.428329104,0,0,,
2019-07-04 00:00:00,3656001.6099999994,3700525.6752892886,3409727.87386862,3991323.4767099572,0,0,,
2019-07-05 00:00:00,4497786.11,4455423.064710711,4178739.4251650427,4732106.70425638,0,0,,
2019-07-06 00:00:00,19048.949999999997,316861.8494575735,40178.209911905054,593545.489003242,0.2522547827,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-07-07 00:00:00,4326.71,44475.681762016284,'-217747.29005865214,306698.6535826847,0,0,,
2019-07-08 00:00:00,5235832.300000002,5197646.518201622,4948245.630830954,5447047.4055722905,0,0,,
2019-07-09 00:00:00,1498472.7800000003,1536407.678234744,1288645.3741390754,1784169.9823304124,0,0,,
2019-07-10 00:00:00,840564.1700000004,804765.9350379842,570958.7129423157,1038573.1571336526,0,0,,
2019-07-11 00:00:00,1730658.2400000005,1766456.4749620168,1532649.2528663483,2000263.6970576853,0,0,,
2019-07-12 00:00:00,2977817.1300000013,2942018.895037985,2708211.6729423166,3175826.1171336533,0,0,,
2019-07-13 00:00:00,179513.52,141578.62176525645,'-106183.68233041198,389340.9258609249,0,0,,
2019-07-14 00:00:00,74700.11,112635.00823474355,'-135127.29586092487,360397.312330412,0,0,,
2019-07-15 00:00:00,23781.85,61716.74823474355,'-186045.55586092488,309479.05233041197,0,0,,
2019-07-16 00:00:00,2984277.080000001,2948478.8450379847,2714671.6229423163,3182286.067133653,0,0,,
2019-07-17 00:00:00,2375330.5299999993,2411128.7649620157,2177321.5428663474,2644935.987057684,0,0,,
2019-07-18 00:00:00,1502219.2499999998,1538017.484962016,1304210.2628663476,1771824.7070576847,0,0,,
2019-07-19 00:00:00,5635643.540000003,5597708.641765259,5349946.3376695905,5845470.945860928,0,0,,
2019-07-20 00:00:00,39841.32,78336.36863474356,'-173084.41776092487,329757.155030412,0,0,,
