FIS TARIHI,ALACAK,ExpectedValue,ExpectedLow,ExpectedHigh,RawScore,Anomaly,BatchStart,BatchEnd
2019-05-02 00:00:00,27451001.740000002,27384655.86107887,26755199.334814623,28014112.387343116,0,0,,
2019-05-03 00:00:00,3512648.9500000007,3578994.828921133,2949538.302656887,4208451.355185379,0,0,,
2019-05-04 00:00:00,10659.69,0,'-644794.9199042462,644794.9199042462,0,0,,
2019-05-05 00:00:00,103495.95,171458.52390295092,'-473336.3960012953,816253.4438071972,0,0,,
2019-05-06 00:00:00,3218552.8600000036,3286515.4339029547,2641720.5139987087,3931310.3538072007,0,0,,
2019-05-07 00:00:00,1327061.1599999997,1259098.5860970488,614303.6661928026,1903893.506001295,0,0,,
2019-05-08 00:00:00,1204321.2799999996,1272283.8539029504,627488.9339987042,1917078.7738071966,0,0,,
2019-05-09 00:00:00,3615832.2800000003,3547869.706097049,2903074.7861928027,4192664.6260012956,0,0,,
2019-05-10 00:00:00,2143860.8300000005,2075898.2560970497,1431103.3361928035,2720693.176001296,0,0,,
2019-05-11 00:00:00,3699.55,71948.11859385998,'-575560.1759403861,719456.413128106,0,0,,
2019-05-13 00:00:00,1921813.8900000006,1853565.3214061407,1206057.0268718945,2501073.615940387,0,0,,
2019-05-14 00:00:00,3090433.910000001,3158396.483902952,2513601.5639987057,3803191.4038071986,0,0,,
2019-05-15 00:00:00,5826702.299999997,5758739.726097046,5113944.8061928,6403534.646001292,0,0,,
2019-05-16 00:00:00,1423135.4899999995,1491098.0639029504,846303.1439987042,2135892.983807197,0,0,,
2019-05-17 00:00:00,3705589.28,3637626.7060970487,2992831.7861928027,4282421.626001295,0,0,,
2019-05-18 00:00:00,326533.94,394782.50859385997,'-252725.78594038612,1042290.803128106,0,0,,
2019-05-19 00:00:00,194,0,'-648637.1193542462,648637.1193542462,0,0,,
2019-05-20 00:00:00,2537415.6900000027,2469048.1411879607,1820411.0218337146,3117685.260542207,0,0,,
2019-05-21 00:00:00,1611733.6399999994,1680101.1888120412,1031464.069457795,2328738.3081662874,0,0,,
2019-05-22 00:00:00,4787575.150000009,4719207.601187967,4070570.4818337206,5367844.720542213,0,0,,
2019-05-23 00:00:00,2339845.82,2408277.097102951,1759035.3555887046,3057518.8386171972,0,0,,
