FIS TARIHI,Bakiye,ExpectedValue,ExpectedLow,ExpectedHigh,RawScore,Anomaly,BatchStart,BatchEnd
2019-07-11 00:00:00,80681859,84561911,59220321,109903502,0,0,,
2019-07-12 00:00:00,459756936,455876884,430535293,481218474,0,0,,
2019-07-13 00:00:00,33377412,37380875,11233259,63528490,0,0,,
2019-07-14 00:00:00,14179999,10176536,'-15971079,36324152,0,0,,
2019-07-15 00:00:00,2623109,6626572,'-19521044,32774187,0,0,,
2019-07-16 00:00:00,171560848,167680796,142339205,193022386,0,0,,
2019-07-17 00:00:00,114935750,118815802,93474212,144157393,0,0,,
2019-07-18 00:00:00,205925787,202045735,176704144,227387325,0,0,,
2019-07-19 00:00:00,441551872,437548409,411400794,463696025,0,0,,
2019-07-20 00:00:00,5304318,9430390,'-17518018,36378799,0,0,,
2019-07-21 00:00:00,52530,0,'-26948408,26948408,0,0,,
2019-07-22 00:00:00,571576199,575579662,549432046,601727277,0,0,,
2019-07-23 00:00:00,156464553,160344605,135003015,185686196,0,0,,
2019-07-24 00:00:00,242190020,238309968,212968377,263651558,0,0,,
2019-07-25 00:00:00,284619200,288499252,263157662,313840843,0,0,,
2019-07-26 00:00:00,79054278,75174226,49832635,100515816,0,0,,
2019-07-27 00:00:00,9496270,5492807,'-20654808,31640423,0,0,,
2019-07-28 00:00:00,1116486,5119949,'-21027667,31267564,0,0,,
2019-07-29 00:00:00,294274270,290270807,264123192,316418423,0,0,,
2019-07-30 00:00:00,103408225,107411688,81264072,133559303,0,0,,
2019-07-31 00:00:00,4689498168,4685372096,4658423687,4712320504,0,0,,
2019-08-01 00:00:00,755997,4990449,'-22665814,32646712,0,0,,
2019-08-05 00:00:00,215984,4995678,'-26221700,36213057,0,0,,
2019-08-21 00:00:00,24660,4804354,'-26413024,36021733,0,0,,
2019-08-27 00:00:00,51943,4831637,'-26385741,36049016,0,0,,
2019-08-31 00:00:00,1642298,0,'-31217379,31217379,0,0,,
2019-09-01 00:00:00,797684,5920342,'-27537020,39377704,0,0,,
2019-09-03 00:00:00,12245022,7465328,'-23752051,38682706,0,0,,
2019-09-13 00:00:00,1060000,6182658,'-27274704,39640020,0,0,,
2019-09-18 00:00:00,24660,0,'-31217379,31217379,0,0,,
2019-09-20 00:00:00,14400,0,'-31217379,31217379,0,0,,
2019-09-25 00:00:00,7640082,2902303,'-28041314,33845920,0,0,,
2019-09-26 00:00:00,79778,4859472,'-26357906,36076851,0,0,,
2019-09-27 00:00:00,3248769,8028463,'-23188915,39245842,0,0,,
2019-09-30 00:00:00,998686,5736465,'-25207152,36680082,0,0,,
2019-10-01 00:00:00,4436666310,3413577541,3382633924,3444521158,0.5853836367,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-10-02 00:00:00,497850270,1353526535,1322582918,1384470152,0.5730482815,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-10-03 00:00:00,152861886,148124107,117180490,179067724,0,0,,
2019-10-04 00:00:00,331803069,336582763,305365385,367800142,0,0,,
2019-10-05 00:00:00,38344813,43467471,10010109,76924833,0,0,,
2019-10-06 00:00:00,7573336,2211502,'-32807975,37230980,0,0,,
2019-10-07 00:00:00,448584663,453946497,418927019,488965974,0,0,,
2019-10-08 00:00:00,239945453,234583619,199564142,269603097,0,0,,
2019-10-09 00:00:00,104334408,98972574,63953097,133992052,0.1682275717,0,,
2019-10-10 00:00:00,476555797,481917631,446898153,516937108,0,0,,
2019-10-11 00:00:00,164174614,166543306,129807011,203279600,0,0,,
2019-10-12 00:00:00,12616618,6991922,'-29744372,43728217,0,0,,
2019-10-13 00:00:00,2963918,8325752,'-26693726,43345229,0,0,,
2019-10-14 00:00:00,384366757,379004923,343985446,414024401,0,0,,
2019-10-15 00:00:00,135953437,141315271,106295793,176334748,0,0,,
2019-10-16 00:00:00,496551459,491189625,456170148,526209103,0,0,,
2019-10-17 00:00:00,63335097,68959793,32223498,105696087,0,0,,
2019-10-18 00:00:00,296036509,290389680,253508832,327270529,0,0,,
2019-10-19 00:00:00,1203885,6850714,'-30030135,43731562,0,0,,
2019-10-20 00:00:00,9608,0,'-36736294,36736294,0,0,,
2019-10-21 00:00:00,276892448,271267752,234531458,308004047,0,0,,
2019-10-22 00:00:00,273007332,278369166,243349688,313388643,0,0,,
2019-10-23 00:00:00,259134147,16403056,'-20333238,53139350,0.4720776669,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-10-24 00:00:00,189692996,195339825,158458976,232220673,0,0,,
2019-10-25 00:00:00,486495608,492146098,455241338,529050858,0,0,,
2019-10-26 00:00:00,25376454,19725964,'-17178796,56630724,0,0,,
2019-10-27 00:00:00,23820,5680130,'-31262643,42622902,0,0,,
2019-10-28 00:00:00,197663419,203321483,166367254,240275711,0,0,,
